;session;sex;age;language;foreign_language;control_question
0;2290019;F;27;հայերեն;անգլերեն;
0;2290172;M;38;Armenian;Russian, Polish, English;
0;2291325;M;21;Հայերեն;Ռուսերեն, անգլերեն;
0;2290536;F;18;Հայերեն;Անգլերեն,Ռուսերեն;
0;2291565;F;19;Հայերեն;Անգլերեն;
0;2290724;F;22;հայերեն;անգլերեն, ռուսերեն, իսպաներեն, չինարեն, ֆրանսերեն;
0;2290792;F;24;Հայերեն;Անգլերեն, ռուսերեն, կորեերեն;
0;2291645;F;24;Հայերեն;Ռուսերեն Անգլերեն, Վրացերեն, Կորեերեն;
0;2290574;F;17;Հայերեն;Ռուսերեն, անգլերեն, ամերիկական ժեստերի լեզու, հայկական ժեստերի լեզու;
0;2291030;F;20;Հայերեն;Ռուսերեն,անգլերեն, լեհերեն;
0;2292049;F;23;հայերեն;անգլերեն, ռուսերեն;
0;2292192;F;48;հայերեն;ռուսերեն, բուլղարերեն, անգլերեն;
0;2292471;F;19;Հայերեն;Անգլերեն, ֆրանսերեն, ռուսերեն;
0;2292747;F;25;Հայերեն;Անգլերեն Ռուսերեն ;
0;2293121;F;20;Հայերեն;անգլերեն,ռուսերեն,չինարեն;
0;2293549;M;18;Հայեերեն;Անգլերեն, ռուսերեն;
0;2295553;F;20;Հայերեն ;Ոչ մի ;
0;2295714;F;37;Հայերեն;Ռուսերեն;
0;2294899;F;22;հայերեն;անգլերեն ռուսերեն;
0;2295151;F;21;Հայերեն;Անգլերեն;
0;2295304;F;21;Հայերեն ;անգլերեն, ֆրանսերեն, ռուսերեն;
0;2296670;F;17;հայերեն;անգլերեն, ռուսերեն;
0;2295911;M;42;Հայերեն ;Ռուսերեն ;
0;2296823;F;39;հայերեն;ռուսերեն;
0;2296271;F;18;հայոց ;անգլերեն,ռուսերեն;
0;2297509;M;43;Հայերեն ;Ռուսերեն ;
0;2302592;F;22;Հայերեն;Անգքերեն, ռուսերեն;
0;2302585;F;23;Հայերեն;Անգլերեն, ռուսերեն;
